spec_id,version,stage,mode,context,start,end,provider,model,effort,cost_usd,input_tokens,cached_input_tokens,output_tokens,spec_size_kb,plan_size_kb,prd_size_kb,diff_lines,session_id
26_07_29_21_declare-war-card,1.201,spec,automated,,2026-07-29T21:07:08+00:00,2026-07-29T21:07:08+00:00,claude,claude-sonnet-5,,,,,,21.42,17.27,,86,backfilled
26_07_29_21_declare-war-card,1.201,plan,automated,,2026-07-30T05:03:42+00:00,2026-07-30T05:03:42+00:00,claude,claude-sonnet-5,,,,,,21.42,17.27,,99,backfilled
